time,throttle,steering
8.550000,1.000000,1.000000
8.560000,1.000000,1.000000
8.570000,1.000000,1.000000
8.580000,0.000000,1.000000
8.590000,1.000000,1.000000
8.600000,1.000000,1.000000
8.610000,1.000000,1.000000
8.620000,0.000000,1.000000
8.630000,1.000000,1.000000
8.640000,1.000000,1.000000
8.650000,1.000000,1.000000
8.660000,1.000000,1.000000
8.670000,1.000000,1.000000
8.680000,1.000000,1.000000
8.690000,1.000000,1.000000
8.700000,0.000000,1.000000
8.710000,1.000000,1.000000
8.720000,0.000000,1.000000
8.730000,1.000000,1.000000
8.740000,1.000000,1.000000
8.750000,1.000000,1.000000
8.760000,1.000000,1.000000
8.770000,1.000000,1.000000
8.780000,1.000000,1.000000
8.790000,1.000000,1.000000
8.800000,0.000000,1.000000
8.810000,1.000000,1.000000
8.820000,0.000000,1.000000
8.830000,1.000000,1.000000
8.840000,1.000000,1.000000
8.850000,1.000000,1.000000
8.860000,1.000000,1.000000
8.870000,1.000000,1.000000
8.880000,0.000000,1.000000
8.890000,1.000000,1.000000
8.900000,1.000000,1.000000
8.910000,0.000000,1.000000
8.920000,0.000000,1.000000
8.930000,0.000000,1.000000
8.940000,0.000000,1.000000
8.950000,0.000000,1.000000
8.960000,0.000000,1.000000
8.970000,0.000000,1.000000
8.980000,0.000000,1.000000
8.990000,0.000000,1.000000
9.000000,0.000000,1.000000
9.010000,0.000000,1.000000
9.020000,0.000000,1.000000
9.030000,0.000000,1.000000
9.040000,0.000000,1.000000
9.050000,0.000000,1.000000
9.060000,0.000000,1.000000
9.070000,0.000000,1.000000
9.080000,0.000000,1.000000
9.090000,0.000000,1.000000
9.100000,0.000000,1.000000
9.110000,0.000000,1.000000
9.120000,0.000000,1.000000
9.130000,0.661012,1.000000
9.140000,0.672851,1.000000
9.150000,0.714741,1.000000
9.160000,0.740092,1.000000
9.170000,0.752773,1.000000
9.180000,0.757017,1.000000
9.190000,0.753303,1.000000
9.200000,0.745248,1.000000
9.210000,0.732198,1.000000
9.220000,0.715705,1.000000
9.230000,0.695616,1.000000
9.240000,0.672304,1.000000
9.250000,0.645767,1.000000
9.260000,0.615980,1.000000
9.270000,0.582877,1.000000
9.280000,0.546776,1.000000
9.290000,0.505355,1.000000
9.300000,0.453606,1.000000
9.310000,0.431292,1.000000
9.320000,0.389931,1.000000
9.330000,0.370691,1.000000
9.340000,0.331863,1.000000
9.350000,0.315630,1.000000
9.360000,0.279493,1.000000
9.370000,0.266026,1.000000
9.380000,0.232496,1.000000
9.390000,0.221783,1.000000
9.400000,0.189851,1.000000
9.410000,0.183363,1.000000
9.420000,0.154284,1.000000
9.430000,0.150048,1.000000
9.440000,0.122705,1.000000
9.450000,0.121744,1.000000
9.460000,0.096950,1.000000
9.470000,0.097742,1.000000
9.480000,0.074256,1.000000
9.490000,0.077771,1.000000
9.500000,0.056593,1.000000
9.510000,0.061299,1.000000
9.520000,0.041175,1.000000
9.530000,0.047893,1.000000
9.540000,0.029685,1.000000
9.550000,0.037138,1.000000
9.560000,0.019699,1.000000
9.570000,0.028587,1.000000
9.580000,0.012716,1.000000
9.590000,0.021993,1.000000
9.600000,0.006691,1.000000
9.610000,0.016917,1.000000
9.620000,0.002848,1.000000
9.630000,0.013231,1.000000
9.640000,0.000000,1.000000
9.650000,0.010545,1.000000
9.660000,0.000000,1.000000
9.670000,0.008828,1.000000
9.680000,0.000000,1.000000
9.690000,0.008324,1.000000
9.700000,0.000000,1.000000
9.710000,0.008535,1.000000
9.720000,0.000000,1.000000
9.730000,0.009309,1.000000
9.740000,0.000000,1.000000
9.750000,0.010522,1.000000
9.760000,0.000862,1.000000
9.770000,0.012065,1.000000
9.780000,0.002772,1.000000
9.790000,0.013861,1.000000
9.800000,0.004906,1.000000
9.810000,0.015856,1.000000
9.820000,0.007207,1.000000
9.830000,0.018000,1.000000
9.840000,0.009629,1.000000
9.850000,0.020249,1.000000
9.860000,0.012133,1.000000
9.870000,0.022567,1.000000
9.880000,0.014687,1.000000
9.890000,0.024928,1.000000
9.900000,0.017266,1.000000
9.910000,0.027309,1.000000
9.920000,0.019850,1.000000
9.930000,0.029692,1.000000
9.940000,0.022422,1.000000
9.950000,0.032063,1.000000
9.960000,0.024972,1.000000
9.970000,0.034411,1.000000
9.980000,0.027489,1.000000
9.990000,0.036729,1.000000
10.000000,0.029966,1.000000
10.010000,0.039010,1.000000
10.020000,0.032399,1.000000
10.030000,0.041249,1.000000
10.040000,0.034784,1.000000
10.050000,0.043444,1.000000
10.060000,0.037116,1.000000
10.070000,0.045591,1.000000
10.080000,0.039396,1.000000
10.090000,0.047691,1.000000
10.100000,0.041623,1.000000
10.110000,0.049742,1.000000
10.120000,0.043796,1.000000
